queue_size,active_nodes,time,processing_time
1,1,1734457357.5929096,13.970120668411255
10,3,1734457371.563897,1.827850580215454
9,3,1734457373.3926249,2.7535743713378906
8,3,1734457376.1467752,8.419973850250244
7,3,1734457384.5675256,7.6566002368927
6,3,1734457392.2248662,1.8680150508880615
5,3,1734457394.0936124,1.390852451324463
4,3,1734457395.4850535,4.390557527542114
3,3,1734457399.876266,4.582995414733887
2,2,1734457404.460055,1.6198172569274902
1,1,1734457406.0806403,
